DATE	ASS_ASSIGNMENT	prediction
2012-01-03 00:00:00.000	CAT	0
2012-01-03 00:00:00.000	Téléphonie	0
2012-01-03 00:00:00.000	Tech. Inter	0
2012-01-03 00:00:00.000	Tech. Axa	0
2012-01-03 00:00:00.000	Services	0
2012-01-03 00:00:00.000	Regulation Medicale	0
2012-01-03 00:00:00.000	RENAULT	0
2012-01-03 00:00:00.000	Nuit	0
2012-01-03 00:00:00.000	SAP	0
2012-01-03 00:00:00.000	Japon	0
2012-01-03 00:00:00.000	Gestion Renault	0
2012-01-03 00:00:00.000	Gestion Amex	0
2012-01-03 00:00:00.000	Gestion - Accueil Telephonique	0
2012-01-03 00:00:00.000	Gestion	0
2012-01-03 00:00:00.000	Domicile	0
2012-01-03 00:00:00.000	Crises	0
2012-01-03 00:00:00.000	Médical	0
2012-01-03 00:30:00.000	Regulation Medicale	0
2012-01-03 00:30:00.000	SAP	0
2012-01-03 00:30:00.000	Services	0
2012-01-03 00:30:00.000	Téléphonie	0
2012-01-03 00:30:00.000	Tech. Inter	0
2012-01-03 00:30:00.000	Tech. Total	0
2012-01-03 00:30:00.000	RENAULT	0
2012-01-03 00:30:00.000	Tech. Axa	0
2012-01-03 00:30:00.000	Nuit	0
2012-01-03 00:30:00.000	Gestion - Accueil Telephonique	0
2012-01-03 00:30:00.000	Japon	0
2012-01-03 00:30:00.000	Gestion Renault	0
2012-01-03 00:30:00.000	Gestion Amex	0
2012-01-03 00:30:00.000	Gestion	0
2012-01-03 00:30:00.000	Domicile	0
2012-01-03 00:30:00.000	Crises	0
2012-01-03 00:30:00.000	CAT	0
2012-01-03 00:30:00.000	Médical	0
2012-01-03 01:00:00.000	Nuit	0
2012-01-03 01:00:00.000	Téléphonie	0
2012-01-03 01:00:00.000	Tech. Inter	0
2012-01-03 01:00:00.000	Tech. Axa	0
2012-01-03 01:00:00.000	Services	0
2012-01-03 01:00:00.000	SAP	0
2012-01-03 01:00:00.000	RENAULT	0
2012-01-03 01:00:00.000	Médical	0
2012-01-03 01:00:00.000	Regulation Medicale	0
2012-01-03 01:00:00.000	Gestion Renault	0
2012-01-03 01:00:00.000	Gestion Amex	0
2012-01-03 01:00:00.000	Japon	0
2012-01-03 01:00:00.000	Gestion - Accueil Telephonique	0
2012-01-03 01:00:00.000	Gestion	0
2012-01-03 01:00:00.000	Domicile	0
2012-01-03 01:00:00.000	Crises	0
2012-01-03 01:00:00.000	CAT	0
2012-01-03 01:30:00.000	Tech. Inter	0
2012-01-03 01:30:00.000	Tech. Axa	0
2012-01-03 01:30:00.000	Services	0
2012-01-03 01:30:00.000	SAP	0
2012-01-03 01:30:00.000	Regulation Medicale	0
